fly,signal,kind,r150,vm_cutoff_r150,baseline_valid_bins,vm_cutoff_valid_bins,vm_cutoff_fraction_retained,main_summary_eligible,interpretation
a2_s_03,a2_l,single_channel,-0.25997391188258867,-0.21214728256948856,175708,174260,0.9917590547954561,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a2_s_04,a2_l,single_channel,-0.46564091359235577,-0.46564091359235577,216954,216954,1.0,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a2_s_05,a2_l,single_channel,-0.45850267443452425,-0.45850267443452425,160902,160902,1.0,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a2_s_06,a2_l,single_channel,-0.4887311149329975,-0.4880856420221529,173994,173974,0.9998850535075923,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a1_s_02,a1_l,single_channel,-0.31158720986599253,-0.31135374211585326,277452,277445,0.9999747704107377,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a1_s_05,a1_l,single_channel,-0.22454306795792897,-0.0722039055837155,261642,256588,0.9806835294027717,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a1_s_08,a1_l,single_channel,-0.26607266418643216,-0.2522291607843369,153114,149990,0.979596901654976,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a1_s_03,a1_l,single_channel,-0.17753336806331413,-0.17716470490948139,287398,287328,0.9997564353266202,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a1_s_06,a1_l,single_channel,-0.23533751254901028,-0.23849264790501043,287398,285658,0.9939456781188456,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a1_s_07,a1_l,single_channel,-0.0671338740202291,-0.0665959213513813,275898,275859,0.9998586434116956,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a2_s_01,a2_l,single_channel,-0.3005774831644139,-0.2855701946521179,287398,286960,0.9984759810437094,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
a2_s_07,a2_l,single_channel,-0.24767758051282146,-0.2510081522981323,183898,183592,0.998336034105863,True,"Exploratory pointwise Vm <= -33 mV sensitivity, not author exclusion reproduction"
